timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-05-04T16:54:03,codecarbon,f208a7d8-d0f8-4fd9-ba96-0dc964a4d25f,2.6645655632019043,2.6842009636137582e-05,1.0073690813553332e-05,27.0,27.607755268526653,2.668530464172364,1.9983016848564148e-05,2.042112744799797e-05,1.9736491857942912e-06,4.23777934823564e-05,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
2024-05-04T16:54:03,codecarbon,30bac721-4e05-4030-b36e-c3becbbb8e45,2.715248107910156,2.776700906941329e-05,1.0226324801966152e-05,27.0,28.46661998918752,2.668530464172364,2.0362894535064697e-05,2.1463628281998687e-05,2.0116469741473493e-06,4.383816979121074e-05,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
2024-05-04T16:54:08,codecarbon,df75001c-4364-4eea-b8d4-7a222ff33b61,0.0863673686981201,6.446223892769485e-07,7.463726161787993e-06,27.0,13.29328969237716,2.668530464172364,6.463766098022461e-07,3.094446920006572e-07,6.189960870983669e-08,1.01772091051274e-06,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
2024-05-04T16:54:08,codecarbon,92cbc8bc-86b0-4328-a787-3510e33b935e,0.3162374496459961,2.908985503230661e-06,9.198738183877496e-06,27.0,22.695305288772843,2.668530464172364,2.3704826831817627e-06,1.988612701999889e-06,2.335706845417463e-07,4.592666069723398e-06,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
2024-05-04T16:54:08,codecarbon,334bb311-132f-4db8-98ac-47461303117b,0.2335302829742431,3.403857749699133e-06,1.4575658909617972e-05,27.0,53.4199330270864,2.668530464172364,1.7501306533813477e-06,3.451669428000681e-06,1.721634450249591e-07,5.373963526406988e-06,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
2024-05-04T16:54:08,codecarbon,3b8a2648-8a63-4add-a5c7-8b5d37a969d8,0.2803776264190674,3.648449182505123e-06,1.3012625968421444e-05,27.0,44.458184615024855,2.668530464172364,2.1015447378158567e-06,3.451669428000681e-06,2.0690693103745162e-07,5.760121096853989e-06,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
2024-05-04T16:54:08,codecarbon,7d70c7e3-7193-4ad3-8e3c-51c2b29bd739,0.3833880424499511,3.926854838005048e-06,1.0242507337765163e-05,27.0,28.61778508026444,2.668530464172364,2.874315977096557e-06,3.0419468780001208e-06,2.83401239209032e-07,6.19966409430571e-06,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
2024-05-04T16:54:09,codecarbon,1c990ed4-27fa-400e-b903-92527d5c9329,0.5275259017944336,6.2697086463224e-06,1.188512000073426e-05,27.0,37.95841757804276,2.668530464172364,3.95533561706543e-06,5.553059998001514e-06,3.901336608739333e-07,9.898529275940875e-06,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
2024-05-04T16:54:09,codecarbon,d464988c-9cca-459b-9140-e21982a42ece,0.6246557235717773,7.403698827765943e-06,1.1852446953390008e-05,27.0,37.75798809266874,2.668530464172364,4.683626890182495e-06,6.543060790000985e-06,4.621696066503016e-07,1.168885728683378e-05,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
2024-05-04T16:54:09,codecarbon,c06074cd-62df-4d63-8842-208733102855,0.7683749198913574,8.931897982211206e-06,1.1624400733269783e-05,27.0,36.48232942772212,2.668530464172364,5.761646032333374e-06,7.771672884002157e-06,5.682380544967221e-07,1.4101556970832252e-05,India,IND,telangana,,,Linux-6.5.0-28-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,12,AMD Ryzen 5 4600H with Radeon Graphics,1,1 x NVIDIA GeForce GTX 1650 Ti,78.4378,17.3724,7.116081237792969,machine,N,1.0
